,Positie,Namen,punten
0,1,Lewis Hamilton,132
1,2,Max Verstappen,95
2,3,Valtteri Bottas,89
3,4,Charles Leclerc,45
4,5,Lance Stroll,40
5,6,Alexander Albon,40
6,7,Lando Norris,39
7,8,Sergio Pérez,32
8,9,Carlos Sainz Jr,23
9,10,Daniel Ricciardo,20
10,11,Sebastian Vettel,16
11,12,Esteban Ocon,16
12,13,Pierre Gasly,14
13,14,Nico Hülkenberg,6
14,15,Antonio Giovinazzi,2
15,16,Daniil Kvyat,2
16,17,Kevin Magnussen,1
17,18,Kimi Räikkönen,0
18,19,Nicholas Latifi,0
19,20,George Russell,0
20,21,Romain Grosjean,0
